nodeID, x_location, y_location, parentID, parent_x_location, parent_y_location
8, 83.784065, 46.839874, 905, 88.990425, 46.4798
543, 95.21253, 47.523518, 905, 88.990425, 46.4798
96, 89.450066, 95.80595, 84, 87.98836, 95.91169
223, 89.640976, 95.91413, 84, 87.98836, 95.91169
862, 95.119705, 98.79589, 84, 87.98836, 95.91169
139, 60.733994, 55.683052, 375, 54.50049, 57.08925
230, 60.741577, 57.025585, 375, 54.50049, 57.08925
249, 58.518166, 58.218136, 375, 54.50049, 57.08925
213, 88.839096, 61.068794, 287, 89.99355, 65.56931
465, 93.59756, 63.42782, 287, 89.99355, 65.56931
990, 95.19065, 65.24597, 287, 89.99355, 65.56931
748, 93.66836, 90.548325, 170, 88.786095, 92.5838
598, 91.31824, 94.43313, 245, 87.98664, 95.05816
862, 95.119705, 98.79589, 245, 87.98664, 95.05816
3, 79.5955, 38.08475, 345, 84.63036, 38.20409
267, 80.64668, 38.510227, 345, 84.63036, 38.20409
243, 81.49203, 40.438385, 345, 84.63036, 38.20409
866, 83.088646, 37.575817, 345, 84.63036, 38.20409
977, 82.88017, 38.128902, 345, 84.63036, 38.20409
836, 75.09854, 34.013954, 811, 79.56416, 29.355558
174, 81.54352, 60.880836, 549, 83.42702, 65.811615
79, 83.97495, 60.816097, 549, 83.42702, 65.811615
550, 81.359116, 63.398254, 549, 83.42702, 65.811615
690, 93.82004, 87.8063, 154, 88.70307, 85.85536
459, 65.24208, 70.30044, 315, 66.63265, 72.592766
597, 62.70053, 70.96388, 315, 66.63265, 72.592766
533, 55.53076, 72.932175, 126, 58.42012, 77.14783
221, 98.05628, 42.17465, 789, 96.77029, 35.927795
349, 99.12032, 41.6922, 789, 96.77029, 35.927795
979, 97.614655, 42.05575, 789, 96.77029, 35.927795
174, 81.54352, 60.880836, 996, 83.251335, 66.6457
550, 81.359116, 63.398254, 996, 83.251335, 66.6457
565, 98.69268, 18.901056, 961, 96.85459, 15.008658
221, 98.05628, 42.17465, 356, 95.96093, 36.440136
349, 99.12032, 41.6922, 356, 95.96093, 36.440136
249, 58.518166, 58.218136, 264, 54.58862, 60.253727
169, 56.7685, 58.617767, 264, 54.58862, 60.253727
448, 57.13572, 60.72574, 264, 54.58862, 60.253727
752, 56.49961, 61.830177, 264, 54.58862, 60.253727
498, 92.27134, 90.30688, 450, 87.77639, 92.47724
598, 91.31824, 94.43313, 450, 87.77639, 92.47724
96, 89.450066, 95.80595, 749, 86.01903, 96.52577
223, 89.640976, 95.91413, 749, 86.01903, 96.52577
678, 89.34743, 64.19993, 69, 89.59547, 67.77249
1000, 93.23032, 63.295242, 69, 89.59547, 67.77249
655, 99.051125, 36.0928, 275, 97.285225, 29.750816
880, 97.64385, 32.118847, 275, 97.285225, 29.750816
